Year,GDP,GDP_growth
2025,4361651002356.22,0.013098164188973582
2026,4490404000000.0,0.029519325955750686
2027,4618866000000.0,0.028608116329844613
2028,4746195000000.0,0.027567156094158163
2029,4874010000000.0,0.026929993394708918
2030,5005732000000.0,0.027025385668063784
2031,5144109000000.0,0.027643709251713888
2032,5290405000000.0,0.028439521790848632
2033,5445684000000.0,0.02935106102462859
2034,5610819000000.0,0.030324014393784182
2035,5786431000000.0,0.03129881751665842
