Year;Power_DE_Prices;Gas_TTF_Prices;CO2_EUA_Prices;Coal_API2_Prices
2014;32.76;20.92;5.94;74.96
2015;31.63;19.80;7.63;55.88
2016;28.98;14.01;5.29;59.20
2017;34.19;17.30;5.75;83.07
2018;44.47;22.80;15.72;91.64
2019;37.67;13.55;24.70;62.27
2020;30.47;9.40;24.62;51.43
2021;96.85;46.36;52.85;116.08
2022;235.45;122.88;79.89;277.45
2023;95.18;40.74;83.29;124.60
2024;79.62;34.35;64.94;111.79
